customer_id,saldo_mora,dias_mora,intentos_previos,wait_time_seconds,call_center_load,product_type,segmento_riesgo,iv_menu,call_time,hora_llamada,abandono
1,2346.34,182,2,5.0,0.7,Tarjeta,Alto,Otros,2024-10-01,16,1
2,15050.61,351,5,175.2,0.69,Credito_Personal,Alto,Acuerdo,2024-06-26,19,1
3,6583.73,35,0,10.5,0.75,Hipoteca,Medio,Otros,2024-12-22,1,0
4,4564.71,36,1,315.8,0.73,Tarjeta,Medio,Otros,2024-06-11,8,0
5,848.12,13,2,70.2,0.89,Hipoteca,Medio,Pago,2024-12-07,11,0
6,847.98,122,2,170.4,0.7,Tarjeta,Alto,Acuerdo,2024-09-23,12,1
7,299.19,82,1,16.1,0.61,Tarjeta,Medio,Pago,2024-06-02,14,0
8,10056.15,158,3,313.3,0.84,Tarjeta,Medio,Consulta,2024-09-22,22,1
9,4595.41,328,6,4.1,0.75,Credito_Personal,Medio,Pago,2024-06-04,21,1
10,6156.25,101,5,5.2,0.83,Credito_Personal,Alto,Otros,2024-12-04,19,1
11,104.0,336,0,6.7,0.68,Hipoteca,Bajo,Otros,2024-05-26,0,1
12,17517.79,82,2,13.1,0.5,Hipoteca,Medio,Consulta,2024-06-12,2,0
13,8932.15,43,0,80.1,1.0,Hipoteca,Medio,Consulta,2024-09-01,18,0
14,1193.44,67,3,186.3,0.61,Tarjeta,Medio,Consulta,2024-12-27,21,0
15,1003.39,47,1,40.2,0.53,Automotriz,Alto,Otros,2024-04-29,21,0
16,1013.06,56,4,164.3,0.81,Tarjeta,Medio,Pago,2024-09-30,10,0
17,1813.77,74,2,178.5,0.56,Tarjeta,Alto,Acuerdo,2024-10-31,19,1
18,3719.64,21,3,286.7,0.64,Credito_Personal,Medio,Acuerdo,2024-07-01,20,0
19,2827.69,131,0,19.4,0.72,Hipoteca,Medio,Consulta,2024-01-08,20,0
20,1721.11,301,2,17.5,0.68,Tarjeta,Bajo,Acuerdo,2024-09-17,12,1
21,4731.85,266,2,15.6,0.65,Tarjeta,Bajo,Otros,2024-03-12,10,0
22,751.17,286,1,53.4,0.94,Credito_Personal,Medio,Pago,2024-10-12,21,1
23,1727.58,119,4,80.7,0.68,Credito_Personal,Alto,Acuerdo,2024-09-20,18,1
24,2281.39,245,1,74.3,0.57,Credito_Personal,Medio,Consulta,2024-06-12,13,0
25,3044.67,55,1,35.7,0.85,Credito_Personal,Alto,Pago,2024-03-14,10,1
26,7689.68,37,1,116.7,0.59,Credito_Personal,Medio,Otros,2024-06-03,8,0
27,1113.68,244,3,49.5,0.68,Hipoteca,Medio,Acuerdo,2024-08-30,6,0
28,3610.15,20,2,54.7,0.56,Hipoteca,Medio,Acuerdo,2024-05-04,3,0
29,4487.52,109,0,13.4,0.73,Hipoteca,Medio,Pago,2024-12-26,2,0
30,237.82,93,6,107.6,0.71,Tarjeta,Medio,Acuerdo,2024-09-27,11,0
31,4676.67,135,2,127.8,0.7,Tarjeta,Alto,Pago,2024-12-05,9,1
32,934.81,230,1,170.2,0.72,Hipoteca,Alto,Consulta,2024-02-07,6,1
33,336.32,7,1,281.2,0.82,Tarjeta,Alto,Pago,2024-07-28,4,1
34,14868.44,327,4,174.3,0.81,Credito_Personal,Medio,Acuerdo,2024-12-29,15,1
35,16853.15,289,4,32.3,0.54,Tarjeta,Bajo,Otros,2024-10-21,17,0
36,8261.66,250,2,32.2,0.6,Tarjeta,Medio,Acuerdo,2024-10-25,21,0
37,1816.44,360,5,295.9,0.84,Tarjeta,Bajo,Consulta,2024-03-22,18,1
38,513.89,86,1,187.4,0.58,Credito_Personal,Alto,Acuerdo,2024-06-11,12,1
39,5763.75,203,0,182.9,0.77,Hipoteca,Medio,Otros,2024-02-20,6,0
40,2900.45,218,4,152.6,0.83,Hipoteca,Bajo,Otros,2024-10-20,9,1
41,650.76,240,7,37.3,0.45,Credito_Personal,Medio,Acuerdo,2024-03-31,4,0
42,3417.74,319,3,225.6,0.64,Tarjeta,Bajo,Acuerdo,2024-03-12,6,1
43,174.97,257,2,18.5,0.82,Hipoteca,Medio,Acuerdo,2024-06-28,3,1
44,12002.11,108,1,51.7,0.68,Credito_Personal,Bajo,Otros,2024-04-05,13,0
45,1497.29,255,2,51.0,0.64,Credito_Personal,Medio,Acuerdo,2024-01-09,11,0
46,5431.28,281,1,98.6,0.82,Tarjeta,Medio,Pago,2024-06-20,0,1
47,1867.73,219,1,74.7,0.87,Hipoteca,Alto,Otros,2024-01-08,14,1
48,3670.55,82,3,73.9,0.6,Hipoteca,Alto,Consulta,2024-03-12,0,1
49,3956.12,106,3,96.8,0.97,Credito_Personal,Bajo,Acuerdo,2024-05-08,13,0
50,1021.94,68,6,64.4,0.43,Tarjeta,Medio,Otros,2024-01-25,22,0
51,17464.04,96,3,34.5,0.47,Credito_Personal,Medio,Acuerdo,2024-11-22,10,0
52,7461.23,211,1,130.9,0.63,Tarjeta,Medio,Pago,2024-01-10,5,0
53,14025.47,285,4,187.6,0.65,Tarjeta,Medio,Pago,2024-08-15,15,1
54,11260.76,236,3,78.2,0.66,Tarjeta,Bajo,Acuerdo,2024-07-02,12,0
55,4555.27,7,2,125.8,0.62,Credito_Personal,Bajo,Consulta,2024-08-27,2,0
56,12747.18,293,7,92.0,0.59,Credito_Personal,Medio,Pago,2024-10-23,8,0
57,463.28,188,1,7.3,0.67,Credito_Personal,Bajo,Consulta,2024-06-01,11,0
58,1090.67,80,0,66.0,0.61,Hipoteca,Alto,Acuerdo,2024-01-30,16,1
59,231.41,107,1,1.2,0.8,Credito_Personal,Alto,Acuerdo,2024-06-17,9,1
60,1967.66,320,2,130.1,0.7,Credito_Personal,Alto,Acuerdo,2024-08-26,4,1
61,2460.65,66,5,85.2,0.67,Automotriz,Bajo,Acuerdo,2024-02-18,2,0
62,1582.8,173,1,16.3,0.69,Credito_Personal,Medio,Pago,2024-12-11,22,0
63,8822.79,345,2,93.8,0.87,Credito_Personal,Bajo,Acuerdo,2024-11-27,3,1
64,2206.13,350,1,274.4,0.63,Credito_Personal,Alto,Otros,2024-10-24,4,1
65,1649.01,327,2,50.0,0.51,Credito_Personal,Alto,Otros,2024-04-30,13,1
66,3912.04,42,1,484.6,0.55,Tarjeta,Medio,Acuerdo,2024-03-03,15,0
67,759.49,186,0,384.4,0.67,Credito_Personal,Alto,Acuerdo,2024-12-16,19,1
68,8102.42,301,1,184.6,0.77,Credito_Personal,Bajo,Otros,2024-01-26,6,1
69,387.38,199,4,201.7,0.83,Automotriz,Medio,Pago,2024-05-02,4,1
70,21670.73,38,0,63.4,0.95,Credito_Personal,Medio,Acuerdo,2024-06-04,16,0
71,7397.42,219,2,61.8,0.81,Tarjeta,Medio,Acuerdo,2024-01-01,10,0
